DIRECTORIO;CANT_HOG_COMPLETOS;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P1070;P4005;P4015;P4567;P8520;P8520S1;P8520S1A1;P8520S3;P8520S4;P8520S4A1;P8520S5;P4065;P4065S1;P4065S2;P4065S3;P4065S4;P5661;P5661S1;P5661S2;P5661S3;P5661S4;P5661S5;P5661S6;P5661S7;P5661S9;P1891;P1891S1;P1891S2;P1891S3;P1891S4;P1891S5;FEX_C;CLASE
6002541;1;1;1;1;1;1;4;1; ;1;1;1;1;3;1; ;2;2;2;2; ;3;2;2;1;2;2;2;1; ;2;2;2;2;2;436,939831220654;1
6002542;1;1;1;1;1;1;6;3; ;1;1;1;1;3;1; ;2;2;2;2; ;2;2;1;1;1;1;1;1; ;2;2;2;2;2;570,211632371379;1
6002543;1;1;1;1;1;1;4;1; ;1;1;1;1;3;1; ;2;2;2;2; ;2;2;2;2;1;2;3;1; ;2;2;2;2;2;393,022986543144;1
6002544;1;1;1;1;1;1;4;1; ;1;2;1;1;3;1; ;2;2;2;2; ;2;2;1;1;1;1;1;1; ;1;2;1;2;2;657,09836259268;1
6002545;1;1;1;1;1;1;4;1; ;1;1;1;1;3;1; ;2;2;2;2; ;2;1;1;1;1;4;4;1; ;2;2;2;2;2;697,47133122493;1
6002546;1;1;1;1;1;1;4;1; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;4;4;1; ;2;2;2;2;2;466,769995173182;1
6002548;1;1;1;1;1;1;5;3; ;1;1;2;1;3;1; ;2;2;2;2; ;1;3;3;2;4;4;4;1; ;1;1;1;2;2;334,37164160945;1
6002549;1;1;1;1;1;5;5;4; ;1;1;1;1;3;1; ;2;2;2;2; ;2;2;2;1;2;2;2;1; ;2;2;2;2;2;391,127864258253;1
6002550;1;1;1;1;1;1;4;4; ;1;1;2;1;3;1; ;2;2;2;2; ;1;4;2;1;1;3;2;3; ;1;2;2;2;2;494,56950145645;1
6002552;1;1;1;1;1;1;2;4; ;1;1;1;1;3;1; ;2;2;2;2; ;2;2;2;2;2;2;2;1; ;2;2;2;2;2;419,893380565656;1
6002553;1;1;1;1;1;1;4;1; ;1;1;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;628,141646227145;1
6002554;1;1;1;1;2;1;4;3; ;1;1;2;1;3;1; ;2;2;2;1; ;1;2;2;1;1;3;2;2; ;1;1;2;2;2;409,735589978568;1
6002555;1;1;1;1;2;1;6;3; ;1;1;2;1;3;1; ;1;2;2;1; ;2;4;4;3;1;4;4;4; ;1;1;1;1;1;590,977361659574;1
6002556;1;1;1;1;2;1;4;3; ;1;1;2;1;3;1; ;2;2;2;1; ;1;2;3;1;4;4;4;3; ;1;1;1;2;1;365,223480259876;1
6002557;2;1;1;1;1;5;2;3; ;1;1;2;1;2;2; ;2;2;1;1; ;2;2;2;1;1;1;3;3; ;1;1;2;1;2;522,335504140113;1
6002558;1;1;1;1;1;5;5;4; ;1;1;2;1;3;1; ;1;2;2;2; ;1;4;1;1;1;2;4;4; ;2;1;2;2;1;419,893380565656;1
6002559;1;1;1;1;1;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;2;2;3;1;4;4;3; ;2;2;2;2;2;508,675233071848;1
6002560;1;1;1;1;1;5;5;4; ;1;1;2;2; ;2; ;1;1;1;2; ;4;4;4;1;2;2;4;4; ;1;1;2;1;2;654,733857703845;1
6002561;1;1;1;1;1;5;2;4; ;1;1;2;1;2;1; ;2;2;2;1; ;4;4;4;4;1;1;3;4; ;1;1;1;1;2;373,799481429849;1
6002562;1;1;1;1;1;1;6;1; ;1;1;2;1;3;1; ;2;2;1;1; ;3;3;2;1;1;3;1;4; ;1;2;1;1;2;515,780691291777;1
6002563;1;1;1;1;1;1;5;3; ;1;1;1;1;3;1; ;2;2;2;2; ;1;2;2;2;1;4;4;4; ;2;2;2;2;2;279,423558757859;1
6002564;1;1;1;1;1;1;4;3; ;1;1;1;1;3;1; ;2;2;2;2; ;1;2;1;1;1;4;4;1; ;2;2;2;2;2;642,80143091915;1
6002565;1;1;1;1;1;5;5;3; ;1;1;2;1;1;1; ;1;2;2;1; ;1;3;1;1;1;3;4;4; ;2;2;2;1;1;391,127864258253;1
6002566;1;1;1;1;1;1;5;3; ;1;1;1;1;2;1; ;2;2;2;1; ;2;2;4;1;4;4;4;4; ;2;1;1;1;1;355,065689672788;1
6002567;1;1;1;1;2;1;6;4; ;1;1;1;1;4;2; ;2;2;2;1; ;2;1;1;1;1;2;1;2; ;2;1;2;2;2;612,663747036649;1
6002569;1;1;1;1;3;1;5;4; ;1;1;1;1;5;1; ;1;2;2;1; ;2;3;2;3;2;1;3;3; ;2;2;2;2;2;687,894762831086;1
6002570;1;1;1;1;3;1;6;3; ;1;1;1;1;2;1; ;2;2;2;2; ;1;2;2;2;1;2;1;2; ;2;2;2;2;2;671,743847834927;1
6002571;1;1;1;1;2;1;4;3; ;1;1;1;1;2;1; ;2;2;2;2; ;2;2;2;2;2;2;1;2; ;2;2;2;2;2;710,09813643712;1
6002572;1;1;1;1;2;1;4;4; ;1;1;1;1;4;1; ;2;2;2;2; ;1;1;1;1;2;1;2;1; ;2;2;2;2;2;466,198468436198;1
6002573;1;1;1;1;3;1;4;4; ;1;1;1;1;4;1; ;1;2;2;2; ;2;4;4;2;1;1;4;4; ;2;2;2;2;2;652,131560664739;1
6002574;1;1;1;1;1;1;6;3; ;1;1;1;1;2;1; ;2;2;2;2; ;2;1;1;1;1;2;2;1; ;2;2;2;2;2;982,330094827506;1
6002575;1;1;1;1;2;1;6;4; ;1;1;1;1;4;1; ;1;2;2;1; ;3;3;3;3;2;1;3;3; ;2;2;2;2;2;398,387933205572;1
6002577;1;1;1;1;1;1;4;3; ;1;1;1;1;2;1; ;2;2;2;2; ;2;2;1;1;2;2;2;1; ;1;1;1;2;2;894,697814829818;1
6002578;1;1;1;1;2;1;4;3; ;1;1;1;1;4;1; ;2;2;2;2; ;1;1;1;1;1;1;3;1; ;2;2;2;2;2;1031,33982088823;1
6002579;1;1;1;1;1;1;6;3; ;1;1;1;1;2;1; ;2;2;2;2; ;1;1;1;2;2;2;2;2; ;2;1;1;2;2;808,430367510366;1
6002580;1;1;1;1;2;1;4;4; ;1;2;1;1;4;1; ;2;2;2;2; ;2;3;2;2;1;2;3;1; ;2;2;2;2;2;310,069586215281;1
6002582;1;1;1;1;1;1;2;4; ;1;1;1;1;4;1; ;1;2;2;2; ;1;2;1;2;1;1;3;1; ;2;2;2;2;2;466,143523606095;1
6002583;1;1;1;1;1;5;5;4; ;1;1;1;1;2;1; ;2;2;2;2; ;2;2;2;2;2;2;2;2; ;1;1;2;2;2;466,143523606095;1
6002586;1;1;1;1;1;1;6;4; ;1;1;1;1;2;1; ;2;2;2;2; ;2;2;3;1;2;2;2;1; ;1;1;1;1;2;466,143523606095;1
6002588;1;1;1;1;1;1;6;4; ;1;1;1;1;4;1; ;1;2;2;2; ;2;3;3;3;1;3;3;1; ;2;1;2;2;2;345,652432543848;1
6002589;1;1;1;1;1;1;4;3; ;1;2;1;1;4;1; ;2;2;2;2; ;1;3;1;3;1;1;2;3; ;2;2;2;2;2;310,069586215281;1
6002590;1;1;1;1;1;1;6;4; ;1;1;1;1;4;1; ;1;2;2;2; ;2;4;2;2;1;1;2;2; ;1;1;2;2;2;729,710423607307;1
6002591;1;1;1;1;3;1;6;4; ;1;1;1;1;2;1; ;2;2;2;2; ;2;2;1;1;1;2;3;2; ;2;2;2;2;2;652,131560664739;1
6002592;1;1;1;1;2;1;6;4; ;1;2;1;1;4;1; ;1;2;2;2; ;1;3;1;2;1;1;3;1; ;1;1;2;2;2;687,894762831086;1
6002593;1;1;1;1;1;1;4;3; ;1;1;1;1;2;1; ;2;2;2;2; ;2;2;2;2;2;2;2;2; ;2;2;2;2;2;367,855806149881;1
6002596;1;1;1;1;1;5;6;4; ;1;1;1;1;2;1; ;2;2;2;2; ;2;2;2;2;2;2;2;1; ;1;1;2;1;2;310,069586215281;1
6002599;1;1;1;1;3;5;6;4; ;1;1;1;1;4;1; ;2;2;2;1; ;2;2;3;2;2;1;3;1; ;2;1;2;2;2;310,069586215281;1
6002601;1;1;1;1;1;1;4;3; ;1;1;1;1;2;1; ;2;2;2;2; ;2;2;2;2;2;2;2;2; ;2;1;2;2;2;652,131560664739;1
6002603;1;1;1;1;2;1;4;3; ;1;1;1;1;2;1; ;2;2;2;2; ;2;2;2;2;2;2;1;1; ;1;2;1;2;2;495,811891392971;1
6002606;1;1;1;1;1;1;6;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;3;1;3;3;2;1; ;1;1;1;1;1;979,901671208708;1
6002607;1;1;1;1;2;1;4;1; ;1;3;1;1;3;1; ;2;2;2;2; ;2;2;2;4;1;2;2;4; ;2;2;2;2;2;1044,11718346317;1
6002608;1;1;1;1;1;1;4;1; ;1;2;1;1;3;1; ;2;2;2;2; ;1;3;2;2;1;2;1;1; ;2;2;2;2;2;629,448485084581;1
6002609;1;1;1;1;2;1;4;1; ;1;4;1;1;3;1; ;2;2;2;2; ;4;2;3;2;3;2;2;1; ;2;1;2;2;2;795,022618798881;1
6002610;1;1;1;1;2;1;4;1; ;1;4;1;1;3;1; ;2;2;2;2; ;4;4;1;4;4;1;1;1; ;2;2;1;2;2;1113,82156330053;1
6002611;1;1;1;1;2;1;2;1; ;1;5;1;1;3;1; ;2;2;2;2; ;2;1;1;1;1;2;1;2; ;1;2;2;2;2;910,197291371345;1
6002612;1;1;1;1;2;1;2;1; ;1;5;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;2; ;2;2;2;2;2;643,604988699076;1
6002613;1;1;1;1;2;1;2;1; ;1;5;1;1;3;1; ;2;2;2;2; ;4;1;2;1;1;2;1;1; ;1;2;2;2;2;1195,53481356297;1
6002614;1;1;1;1;2;1;4;1; ;1;4;1;1;3;1; ;2;2;2;2; ;1;1;1;2;2;2;1;1; ;2;1;1;2;1;967,149232753906;1
6002615;1;1;1;1;2;1;4;1; ;1;4;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;967,149232753906;1
6002616;1;1;1;1;1;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;4;1;2;1; ;1;1;2;2;2;1137,2304891221;1
6002618;1;1;1;1;1;1;4;1; ;1;2;1;1;3;1; ;2;2;2;2; ;3;1;1;2;1;1;2;1; ;2;2;2;2;2;1271,9643011591;1
6002619;1;1;1;1;2;1;4;1; ;1;1;1;1;3;1; ;2;2;2;2; ;1;2;2;1;1;1;1;1; ;1;1;1;2;1;1281,8182733576;1
6002620;1;1;1;1;3;1;6;1; ;1;1;1;1;3;1; ;2;2;2;2; ;1;3;1;2;1;3;1;1; ;1;2;2;2;2;643,604988699076;1
6002621;1;1;1;1;2;1;6;1; ;1;1;1;1;3;1; ;2;2;2;2; ;1;4;4;4;3;1;2;1; ;1;1;1;1;2;731,068025278418;1
6002622;1;1;1;1;3;1;6;3; ;1;1;1;1;3;1; ;1;2;2;1; ;2;2;4;1;1;3;1;1; ;1;1;1;1;1;1113,82156330053;1
6002623;1;1;1;1;2;1;6;1; ;1;1;1;1;3;1; ;2;2;2;2; ;2;1;2;2;1;2;2;1; ;1;1;1;1;1;1178,03707555499;1
6002624;1;1;1;1;2;1;4;1; ;1;4;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;1;2;2;2;2;845,531703277865;1
6002625;1;1;1;1;1;1;4;3; ;1;2;1;1;3;1; ;2;2;2;1; ;1;2;1;2;1;2;1;4; ;1;2;1;1;2;1174,63183139607;1
6002626;1;1;1;1;1;1;4;3; ;1;1;1;1;3;1; ;2;2;2;2; ;2;3;1;1;1;1;4;1; ;2;2;2;2;2;876,233725954044;1
6002627;1;1;1;1;1;1;6;3; ;1;1;1;1;3;1; ;2;2;2;2; ;2;4;2;1;2;4;4;2; ;2;2;2;2;2;762,83946551349;1
6002628;1;1;1;1;1;1;6;3; ;1;1;1;1;3;1; ;2;2;2;2; ;1;2;1;1;1;2;3;1; ;2;2;2;2;2;770,693189024385;1
6002629;1;1;1;1;1;1;4;3; ;1;1;1;1;3;1; ;2;2;2;2; ;2;3;2;1;1;3;3;3; ;1;1;2;2;2;449,451672236777;1
6002630;1;1;1;1;1;1;6;3; ;1;1;1;1;3;1; ;2;2;2;2; ;4;2;1;2;1;4;4;2; ;1;2;2;2;2;770,693189024385;1
6002631;1;1;1;1;1;1;6;3; ;1;1;1;1;3;1; ;2;2;2;2; ;1;2;2;1;1;3;4;1; ;1;1;2;2;2;1152,62555821771;1
6002632;1;1;1;1;1;1;6;3; ;1;1;1;1;3;1; ;2;2;2;2; ;1;2;2;1;1;3;3;1; ;1;1;2;2;2;829,333025583042;1
6002633;1;1;1;1;1;1;6;3; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;3;2;1; ;2;2;2;2;2;715,938765142487;1
6002634;1;1;1;1;2;6;4;1; ;1;1;1;1;3;1; ;2;2;2;2; ;1;2;1;1;1;1;1;1; ;1;2;1;2;2;701,122870133872;1
6002635;1;1;1;1;2;6;4;1; ;1;1;1;1;3;1; ;2;2;2;2; ;2;2;2;1;1;2;2;4; ;2;2;2;2;2;957,527511093928;1
6002636;1;1;1;1;2;6;6;1; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;969,529945901235;1
6002637;1;1;1;1;2;6;4;1; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;3; ;2;2;2;2;2;667,478734629793;1
6002638;1;1;1;1;2;6;6;1; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;829,333025583042;1
6002639;1;1;1;1;2;6;6;1; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;2;2;1; ;2;2;2;2;2;843,950538810871;1
6002640;1;1;1;1;2;6;4;1; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;2;1;1;4;2;1; ;1;2;2;2;2;1077,61292846526;1
6002641;1;1;1;1;1;1;4;4; ;1;1;1;1;3;1; ;2;2;2;2; ;1;2;2;1;1;2;3;1; ;2;2;2;2;2;858,200196397187;1
6002642;1;1;1;1;2;6;4;1; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;2;1;1;2;2;1; ;2;2;2;2;2;843,950538810871;1
6002643;1;1;1;1;1;1;4;1; ;1;2;1;1;3;1; ;2;2;2;2; ;1;4;3;3;1;4;4;3; ;2;2;2;2;2;727,925530011511;1
6002644;1;1;1;1;2;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;2;2;3;1;2;3;3; ;2;2;2;2;2;1052,70553013512;1
6002645;1;1;1;1;2;1;4;1; ;1;2;1;1;3;1; ;2;2;2;2; ;1;2;2;1;1;2;2;3; ;2;2;2;2;2;884,087449464939;1
6002646;1;1;1;1;1;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;4;1;1;1;4;4;4; ;1;1;2;2;2;766,438193685021;1
6002647;1;1;1;1;2;1;4;3; ;1;3;1;1;3;1; ;2;2;2;2; ;2;2;2;1;1;2;3;3; ;2;2;2;2;2;727,925530011511;1
6002648;1;1;1;1;2;1;4;3; ;1;3;1;1;3;1; ;2;2;2;2; ;4;3;2;1;1;3;3;3; ;2;2;2;2;2;811,299496026184;1
6002650;1;1;1;1;1;6;4;3; ;1;2;1;1;3;1; ;1;2;2;2; ;4;3;2;2;2;3;3;3; ;2;1;2;2;2;908,884768738731;1
6002651;1;1;1;1;2;1;4;1; ;1;3;1;1;3;1; ;2;2;2;2; ;1;3;1;1;1;2;1;2; ;2;2;2;2;2;971,594456837741;1
6002652;1;1;1;1;1;1;6;4; ;1;2;1;1;2;1; ;2;2;2;1; ;4;2;1;2;2;2;2;1; ;1;1;2;2;1;266,510976763948;1
6002653;1;1;1;1;2;1;4;3; ;1;3;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;251,721627721099;1
6002655;1;1;1;1;1;1;4;3; ;1;3;1;1;2;1; ;2;2;1;1; ;4;4;4;2;2;1;2;1; ;1;1;1;1;1;155,423462775955;1
6002656;1;1;1;1;2;1;4;5; ;1;3;1;1;2;1; ;2;2;2;2; ;2;1;1;1;2;1;1;1; ;2;2;2;2;2;270,031223330564;1
6002657;1;1;1;1;1;1;4;1; ;1;2;1;1;2;1; ;2;2;1;2; ;4;3;4;4;2;3;2;1; ;1;2;2;1;2;184,237517536839;1
6002658;1;1;1;1;2;1;6;3; ;1;2;1;1;2;1; ;2;2;2;1; ;1;2;1;1;1;4;4;1; ;2;2;2;2;2;342,351912120501;1
6002659;1;1;1;1;1;1;4;3; ;1;2;1;1;2;1; ;2;2;2;2; ;3;1;2;3;1;1;1;4; ;2;2;2;2;2;291,843869443913;1
6002660;1;1;1;1;1;1;4;3; ;1;2;1;1;2;1; ;2;2;2;1; ;4;1;2;4;4;1;1;3; ;1;1;2;2;2;160,311410144023;1
6002661;1;1;1;1;1;1;4;3; ;1;3;1;1;2;1; ;2;2;2;2; ;2;2;1;4;1;1;1;4; ;1;2;2;2;2;295,988974732215;1
6002662;1;1;1;1;2;1;4;3; ;1;2;1;1;2;1; ;2;2;2;2; ;1;1;1;4;2;1;1;4; ;1;1;2;2;1;225,827059324442;1
6002663;1;1;1;1;1;7;6;4; ;1;1;2;2; ;1; ;1;2;2;1; ;1;1;3;1;1;1;2;1; ;1;1;1;2;1;305,723487708406;1
6002664;1;1;1;1;1;3;4;3; ;1;1;2;2; ;1; ;1;2;2;1; ;1;1;1;1;1;1;1;1; ;2;1;1;1;1;246,598189877595;1
6002665;1;1;1;1;1;2;6;7; ;1;1;2;2; ;2; ;1;2;2;1; ;1;1;1;1;1;1;1;1; ;2;1;2;2;1;296,05757650906;1
6002666;1;1;1;1;1;1;6;4; ;1;1;2;2; ;1; ;1;2;2;1; ;2;4;2;3;2;2;2;4; ;1;1;1;1;1;349,990834719522;1
6002667;1;1;1;1;1;4;7;4; ;2; ;2;2; ;1; ;2;2;2;1; ;1;1;1;1;1;1;1;1; ;1;1;1;1;2;359,109722167191;1
6002669;1;1;1;1;1;1;6;3; ;1;2;2;1;2;1; ;2;2;2;2; ;4;3;2;2;1;1;3;1; ;2;2;2;1;2;236,216966708475;1
6002670;1;1;1;1;2;1;4;3; ;1;2;2;1;2;1; ;2;2;2;1; ;3;3;1;3;1;2;1;1; ;2;2;2;2;2;370,400676114668;1
6002671;1;1;1;1;2;1;4;1; ;1;2;2;1;2;1; ;2;2;2;2; ;4;1;2;1;1;1;1;1; ;1;2;2;2;2;296,05757650906;1
6002672;1;1;1;1;1;1;4;3; ;1;2;2;1;2;1; ;1;2;2;1; ;3;1;1;3;1;2;2;1; ;1;1;1;1;1;265,0395702689;1
6002673;1;1;1;1;1;1;6;4; ;1;1;2;1;2;1; ;2;2;2;2; ;4;4;1;4;1;1;2;1; ;1;1;1;1;1;349,520209466625;1
6002674;1;1;1;1;1;1;4;3; ;1;1;2;2; ;1; ;2;2;2;2; ;4;4;1;4;1;3;4;4; ;1;1;1;2;1;232,787173389947;1
6002675;1;1;1;1;1;1;4;3; ;1;2;1;1;2;1; ;2;2;2;2; ;4;2;2;2;1;1;1;1; ;2;1;1;2;1;232,787173389947;1
6002704;1;1;1;1;1;1;4;1; ;1;2;1;1;2;1; ;2;2;2;2; ;4;2;2;2;3;3;1;1; ;2;2;2;2;2;216,029363343256;1
6002748;1;1;1;1;1;2;4;3; ;1;3;1;1;2;1; ;2;2;2;2; ;2;1;1;3;1;3;1;4; ;2;2;2;1;2;251,721627721099;1
6002755;1;1;1;1;1;3;6;4; ;1;1;1;1;1;1; ;2;2;2;2; ;4;2;1;2;1;1;2;1; ;1;1;1;1;1;253,994560418509;1
6002756;1;1;1;1;1;2;4;3; ;1;1;1;1;1;1; ;2;2;2;2; ;3;1;1;1;1;2;3;1; ;1;2;1;1;2;429,706995497453;1
6002757;2;1;1;1;2;2;6;3; ;1;1;1;1;1;1; ;2;2;2;2; ;2;2;2;1;1;2;2;1; ;1;1;1;1;1;371,848087492778;1
6002771;1;1;1;1;1;2;7;3; ;1;1;2;2; ;1; ;2;2;2;2; ;1;2;1;1;1;2;2;2; ;1;1;1;2;1;331,537949250132;1
6002772;1;1;1;1;1;2;6;3; ;1;1;2;2; ;2; ;2;2;2;2; ;1;1;1;1;1;1;2;1; ;1;2;2;2;2;376,11623848801;1
6002773;1;1;1;1;1;1;6;3; ;1;1;2;2; ;1; ;2;2;2;1; ;2;2;1;1;1;2;2;2; ;2;1;2;2;1;457,837898795575;1
6002774;1;1;1;1;1;1;7;3; ;1;1;2;2; ;1; ;2;2;1;1; ;1;1;1;1;1;1;2;1; ;1;1;1;2;2;306,600206964608;1
6002775;1;1;1;1;1;2;7;3; ;1;1;2;2; ;2; ;2;2;2;1; ;1;1;1;1;1;2;2;1; ;2;1;2;2;1;526,313853608744;1
6002776;1;1;1;1;1;2;6;3; ;1;1;2;2; ;1; ;2;2;2;1; ;2;2;2;1;1;2;2;2; ;2;1;2;2;1;537,895701500578;1
6002777;1;1;1;1;1;1;7;3; ;1;1;2;2; ;1; ;2;2;2;1; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;411,579200703232;1
6002778;1;1;1;1;1;2;6;4; ;1;1;1;1;1;1; ;2;1;2;2; ;1;1;1;1;1;4;2;1; ;1;1;1;2;1;408,460326534474;1
6002779;1;1;1;1;1;3;6;3; ;1;1;1;1;1;1; ;2;1;2;1; ;2;2;1;2;1;2;2;1; ;1;1;1;1;1;430,648052271598;1
6002780;1;1;1;1;1;1;6;3; ;1;1;1;1;1;1; ;2;2;2;2; ;1;2;2;1;1;2;2;1; ;2;1;1;1;1;323,42993402632;1
6002781;2;1;1;1;1;1;6;3; ;1;1;1;1;1;1; ;2;1;2;2; ;3;3;4;1;1;2;4;1; ;1;1;1;2;1;323,199713639996;1
6002782;1;1;1;1;1;2;6;3; ;1;1;1;1;1;1; ;2;2;2;2; ;1;1;4;1;1;4;2;1; ;1;1;1;2;1;383,44829740511;1
6002783;1;1;1;1;1;1;6;3; ;1;1;1;1;1;1; ;2;2;2;2; ;1;1;2;1;1;3;1;4; ;2;2;2;2;1;310,15469754822;1
6002788;1;1;1;1;2;1;4;4; ;1;3;1;1;2;1; ;2;2;2;2; ;1;1;2;4;2;2;1;1; ;1;2;2;2;2;1205,72894809915;1
6002790;1;1;1;1;2;1;4;2; ;1;3;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;1325,88023976096;1
6002806;1;1;1;1;1;1;4;3; ;1;1;1;1;2;1; ;2;2;2;2; ;1;2;1;3;1;1;3;1; ;1;2;2;2;2;1003,42326423872;1
6002807;1;1;1;1;1;1;4;3; ;1;1;1;1;2;1; ;2;2;2;2; ;1;3;2;1;1;2;3;1; ;2;1;2;2;2;719,825546085634;1
6002808;1;1;1;1;1;1;4;3; ;1;1;1;1;2;1; ;2;2;2;2; ;4;3;4;4;4;4;3;4; ;1;2;2;2;2;1190,81155716053;1
6002809;1;1;1;1;2;1;4;3; ;1;1;1;1;2;1; ;2;2;2;2; ;1;3;2;2;1;3;3;2; ;2;1;2;2;2;933,860275536662;1
6002811;1;1;1;1;1;1;4;3; ;1;1;1;1;3;1; ;2;2;2;2; ;2;2;2;2;1;2;2;2; ;2;2;2;2;2;968,561056923994;1
6002812;2;1;1;1;1;1;4;3; ;1;1;1;1;2;1; ;2;2;2;2; ;1;4;1;1;1;1;4;1; ;1;1;2;2;2;905,110270566041;1
6002813;1;1;1;1;1;1;4;2; ;1;1;1;1;2;1; ;2;2;2;2; ;2;2;2;2;1;1;1;1; ;2;2;2;2;2;957,238507295689;1
6002814;1;1;1;1;1;1;6;3; ;1;1;1;1;2;1; ;2;2;2;2; ;1;3;3;3;3;2;3;3; ;2;2;2;2;2;1239,06154784353;1
6002815;1;1;1;1;2;1;2;3; ;1;1;1;1;2;1; ;2;2;2;2; ;2;4;4;2;1;1;1;1; ;2;1;2;2;2;1072,23734711679;1
6002822;1;1;1;1;2;1;4;1; ;1;2;1;1;3;1; ;2;2;2;2; ;1;4;1;1;1;1;1;1; ;1;2;2;2;2;1320,60035644673;1
6002823;1;1;1;1;2;1;4;1; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;1527,37787347271;1
6002824;1;1;1;1;1;1;4;4; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;1294,13961846018;1
6002825;1;1;1;1;1;1;4;4; ;1;2;1;1;3;1; ;2;2;2;2; ;1;4;2;1;1;1;4;4; ;2;2;2;2;2;1225,31550980165;1
6002826;1;1;1;1;2;1;4;1; ;1;2;1;1;3;1; ;2;2;2;2; ;1;2;4;2;1;3;1;1; ;1;2;2;2;2;1940,9823158747;1
6002827;1;1;1;1;1;1;6;4; ;1;2;1;1;3;1; ;2;2;2;2; ;1;2;1;1;1;2;2;1; ;2;2;2;2;2;1879,73780213927;1
6002828;1;1;1;1;2;1;4;1; ;1;4;1;1;3;1; ;2;2;2;2; ;2;1;3;1;2;3;1;1; ;2;2;2;2;2;1213,23881955748;1
6002829;1;1;1;1;1;1;4;3; ;1;4;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;1251,7762477882;1
6002830;1;1;1;1;1;1;4;3; ;1;3;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;1397,6638504792;1
6002831;1;1;1;1;1;1;4;1; ;1;3;1;1;3;1; ;2;2;2;2; ;1;2;1;1;1;3;3;1; ;2;2;2;2;2;1327,78949102028;1
6002832;1;1;1;1;1;1;4;1; ;1;3;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;3;3;1; ;1;2;2;2;2;2367,63982756974;1
6002833;1;1;1;1;3;8;6;4; ;2; ;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;2;1; ;2;1;2;2;2;1298,29028747727;1
6002834;1;1;1;1;2;1;4;4; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;2;1; ;2;2;2;2;2;1137,22557632541;1
6002836;1;1;1;1;2;1;6;1; ;1;1;1;1;3;1; ;2;2;2;2; ;3;1;3;2;1;1;1;1; ;1;2;2;2;2;1557,67831083066;1
6002837;1;1;1;1;2;1;6;4; ;1;2;1;1;3;1; ;2;2;2;1; ;1;1;1;1;1;4;4;1; ;2;1;2;2;2;1488,85420217214;1
6002838;1;1;1;1;2;1;4;4; ;1;1;1;1;3;1; ;2;2;2;2; ;3;1;2;1;1;3;3;1; ;2;2;2;2;2;1122,04846786454;1
6002839;1;1;1;1;2;1;4;4; ;1;1;1;1;3;1; ;2;2;2;2; ;3;1;3;3;1;2;3;1; ;2;2;2;2;2;1527,37787347271;1
6002840;1;1;1;1;2;1;6;1; ;1;1;1;1;3;1; ;2;2;2;2; ;3;1;1;1;1;1;2;1; ;1;1;2;2;2;1437,26131014718;1
6002841;1;1;1;1;1;1;4;3; ;1;1;1;1;3;1; ;2;2;2;2; ;2;1;1;1;1;4;2;1; ;2;2;2;2;2;1890,27637191497;1
6002842;1;1;1;1;2;1;4;1; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;3;1;1; ;2;2;2;2;2;1795,0947131837;1
6002843;1;1;1;1;2;1;4;4; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;4;1;4;2;1; ;2;2;2;2;2;1885,21127650923;1
