DIRECTORIO;CANT_HOG_COMPLETOS;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P1070;P4005;P4015;P4567;P8520;P8520S1;P8520S1A1;P8520S3;P8520S4;P8520S4A1;P8520S5;P4065;P4065S1;P4065S2;P4065S3;P4065S4;P5661;P5661S1;P5661S2;P5661S3;P5661S4;P5661S5;P5661S6;P5661S7;P5661S9;P1891;P1891S1;P1891S2;P1891S3;P1891S4;P1891S5;FEX_C;CLASE
6000052;1;1;1;1;1;1;4;1; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;3;1;1; ;1;1;2;2;2;1621,35681850189;1
6000053;1;1;1;1;2;1;6;1; ;1;1;1;1;3;1; ;2;2;2;2; ;2;1;1;1;1;1;1;1; ;1;2;2;2;2;2322,54788444621;1
6000054;1;1;1;1;1;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;2;1;1;1;2;2;2;1; ;2;2;2;2;2;2141,9040004544;1
6000055;1;1;1;1;1;1;4;3; ;1;1;2;1;3;1; ;2;2;2;2; ;1;2;1;1;1;1;1;1; ;2;2;2;2;2;2294,5461176962;1
6000056;1;1;1;1;1;1;4;1; ;1;3;1;1;3;1; ;2;2;2;2; ;2;2;1;1;1;1;1;1; ;1;1;1;2;1;1989,08053837641;1
6000057;1;1;1;1;2;1;4;4; ;1;3;1;1;3;1; ;2;2;2;2; ;2;1;3;4;1;3;3;1; ;2;1;1;2;1;3186,99088670704;1
6000058;1;1;1;1;1;1;4;1; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;3;1; ;2;2;2;2;2;2486,30167917236;1
6000059;1;1;1;1;1;1;4;4; ;1;3;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;2;1;1; ;2;2;2;2;2;2584,89173463123;1
6000060;1;1;1;1;1;1;4;4; ;1;2;1;1;2;1; ;2;2;2;2; ;1;1;3;1;1;1;1;1; ;2;2;2;2;2;2107,93205230804;1
6000061;1;1;1;1;1;1;4;1; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;1;1;2;2;2;2525,3159734853;1
6000062;1;1;1;1;1;1;6;4; ;1;1;1;1;3;1; ;2;2;2;2; ;1;3;1;1;1;1;1;1; ;2;2;2;2;2;2495,59714548594;1
6000063;1;1;1;1;1;1;6;4; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;2;1;1;3;1; ;2;2;2;2;2;2693,76767457687;1
6000064;1;1;1;1;2;1;6;1; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;2280,82024666291;1
